VoterId,ElectionDate,ElectionDescription,VotingMethod
862633,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
861029,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
860099,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
843897,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
858841,12/17/2002,SD 256 SPECIAL ELECTION 12/17/2002,P
858841,11/04/2003,11/04/2003 GENERAL ELECTION,P
840375,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,A
884364,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
888763,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,A
858841,11/05/2002,11-05-02 STATE GENERAL ELECTION,P
863320,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
858841,11/02/2004,11/02/2004 - STATE GENERAL,P
836384,11/05/2024,11/05/2024 - STATE GENERAL,A
875347,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
833108,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
842748,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
855720,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,A
884792,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
800496,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
800496,11/07/2000,STATE GENERAL,P
800496,11/05/1996,STATE GENERAL,P
800496,11/02/2004,11/02/2004 - STATE GENERAL,P
800496,04/02/2002,SCHOOL DISTRICT REFERENDUM ISD#2134,P
800496,11/04/2008,11/04/2008 - STATE GENERAL,P
800496,11/06/2012,11/06/2012 - STATE GENERAL,P
800496,11/08/2016,11/08/2016 - STATE GENERAL,P
800496,11/06/2018,11/06/2018 - STATE GENERAL,P
800496,11/03/2020,11/03/2020 - STATE GENERAL,P
800496,11/08/2022,11/08/2022 - STATE GENERAL,P
896319,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
801738,11/07/2000,STATE GENERAL,P
801738,12/31/1999,SPECIAL ELECTION,P
801738,11/02/2004,11/02/2004 - STATE GENERAL,P
801738,04/02/2002,SCHOOL DISTRICT REFERENDUM ISD#2134,P
801738,11/04/2003,11/04/2003 GENERAL ELECTION,P
801738,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
801738,03/11/2003,03/11/2003 TOWNSHIP ELECTION,P
801738,05/24/2005,05/24/2005 - SD SPEC ELECT ISD 2134 - UNITED SOUTH CENTRAL,P
801738,11/08/2005,11/08/2005 - SCHOOL DISTRICT GENERAL,P
801738,12/12/2005,12/12/2005 - SD SPEC ELECT ISD 2134 - UNITED SOUTH CENTRAL,A
801738,11/07/2006,11/07/2006 - STATE GENERAL,P
801738,11/06/2007,11/06/2007 - SD SPEC ELECT ISD 2134 - UNITED SOUTH CENTRAL,P
801738,11/04/2008,11/04/2008 - STATE GENERAL,A
801738,11/02/2010,11/02/2010 - STATE GENERAL,P
801738,08/14/2012,08/14/2012 - STATE PRIMARY,P
801738,11/06/2012,11/06/2012 - STATE GENERAL,P
801738,11/05/2013,11/05/2013 - SD SPEC ELECT ISD 656 - FARIBAULT,P
801738,11/04/2014,11/04/2014 - STATE GENERAL,A
801738,11/08/2016,11/08/2016 - STATE GENERAL,P
801738,11/07/2017,11/07/2017 - SD SPEC ELECT ISD 656 - FARIBAULT,P
801738,11/06/2018,11/06/2018 - STATE GENERAL,P
801738,11/05/2019,11/05/2019 - SD SPEC ELECT ISD 656 - FARIBAULT,A
817478,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
896016,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
841882,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
857057,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
801805,11/07/2000,STATE GENERAL,P
801805,11/02/1999,SCHOOL BOARD ELECTION,P
801805,11/02/2004,11/02/2004 - STATE GENERAL,P
801805,11/04/2008,11/04/2008 - STATE GENERAL,P
801805,11/06/2012,11/06/2012 - STATE GENERAL,P
801805,11/08/2016,11/08/2016 - STATE GENERAL,P
801805,08/11/2020,08/11/2020 - STATE PRIMARY,P
801805,11/03/2020,11/03/2020 - STATE GENERAL,P
801805,11/08/2022,11/08/2022 - STATE GENERAL,P
800477,11/04/2008,11/04/2008 - STATE GENERAL,P
800477,11/05/1996,STATE GENERAL,P
800477,11/02/2004,11/02/2004 - STATE GENERAL,P
800477,11/02/2010,11/02/2010 - STATE GENERAL,P
800477,11/06/2012,11/06/2012 - STATE GENERAL,P
800477,09/12/2000,STATE PRIMARY ELECTION,P
800477,08/11/2020,08/11/2020 - STATE PRIMARY,P
800477,11/03/2020,11/03/2020 - STATE GENERAL,P
800477,11/08/2022,11/08/2022 - STATE GENERAL,P
800874,11/07/2000,STATE GENERAL,P
800874,11/02/2004,11/02/2004 - STATE GENERAL,P
800874,11/07/2006,11/07/2006 - STATE GENERAL,P
800874,11/04/2008,11/04/2008 - STATE GENERAL,P
800874,04/02/2002,SCHOOL DISTRICT REFERENDUM ISD#2134,P
800874,11/03/1998,STATE GENERAL,P
800874,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
800874,11/06/2012,11/06/2012 - STATE GENERAL,A
800874,11/03/2020,11/03/2020 - STATE GENERAL,P
800874,11/02/2021,11/02/2021 - SCHOOL DISTRICT GENERAL,P
800874,11/08/2022,11/08/2022 - STATE GENERAL,P
800877,11/07/2000,STATE GENERAL,A
800877,11/02/1999,SCHOOL BOARD ELECTION,A
800877,12/31/1999,SPECIAL ELECTION,P
800877,11/03/1998,STATE GENERAL,P
800877,11/05/2002,11-05-2002 STATE GENERAL ELECTION,A
800877,11/02/2004,11/02/2004 - STATE GENERAL,P
800877,11/07/2006,11/07/2006 - STATE GENERAL,P
800877,11/04/2008,11/04/2008 - STATE GENERAL,P
800877,11/02/2010,11/02/2010 - STATE GENERAL,P
800877,11/06/2012,11/06/2012 - STATE GENERAL,P
800877,11/04/2014,11/04/2014 - STATE GENERAL,P
800877,11/08/2016,11/08/2016 - STATE GENERAL,P
800877,11/06/2018,11/06/2018 - STATE GENERAL,P
800877,11/03/2020,11/03/2020 - STATE GENERAL,A
800877,11/02/2021,11/02/2021 - SPEC ELECT CITYWIDE LAKEVILLE,P
800877,11/08/2022,11/08/2022 - STATE GENERAL,P
804395,09/12/2000,STATE PRIMARY ELECTION,P
804395,11/07/2000,STATE GENERAL,P
804395,12/31/1999,SPECIAL ELECTION,P
804395,09/15/1998,STATE PRIMARY ELECTION,P
804395,11/03/1998,STATE GENERAL,P
804395,11/04/1997,SCHOOL BOARD ELECTION,P
804395,11/05/1996,STATE GENERAL,P
804395,09/13/1994,STATE PRIMARY ELECTION,P
804395,11/08/1994,STATE GENERAL,P
804395,11/06/2001,2001 GENERAL ELECTION,P
804395,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
804395,04/23/2002,ISD #239 RUSHFORD-PETERSON BOND,P
804395,11/02/2004,11/02/2004 - STATE GENERAL,P
804395,01/03/2008,01/03/2008 - SPEC ELECT SEN DIST 25,P
804395,11/04/2008,11/04/2008 - STATE GENERAL,P
804395,08/10/2010,08/10/2010 - STATE PRIMARY,P
804395,11/02/2010,11/02/2010 - STATE GENERAL,P
804395,11/06/2012,11/06/2012 - STATE GENERAL,P
804395,11/04/2014,11/04/2014 - STATE GENERAL,P
804395,11/08/2016,11/08/2016 - STATE GENERAL,P
804395,11/07/2017,11/07/2017 - SD SPEC ELECT ISD 659 - NORTHFIELD,P
804395,08/14/2018,08/14/2018 - STATE PRIMARY,P
804395,11/06/2018,11/06/2018 - STATE GENERAL,P
804395,03/03/2020,03/03/2020 - PRESIDENTIAL PRIMARY,P
804395,11/03/2020,11/03/2020 - STATE GENERAL,A
804395,11/08/2022,11/08/2022 - STATE GENERAL,P
802089,11/07/2000,STATE GENERAL,P
802089,11/02/2004,11/02/2004 - STATE GENERAL,P
802089,09/10/2002,09-10-2002 STATE PRIMARY,P
802089,03/11/2003,03/11/2003 TOWNSHIP ELECTION,P
802089,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
802089,09/12/2006,09/12/2006 - STATE PRIMARY,P
802089,11/07/2006,11/07/2006 - STATE GENERAL,P
802089,11/06/2007,11/06/2007 - SD SPEC ELECT ISD 2536 - GRANADA HUNTLEY-EAST CHAIN,P
802089,11/04/2008,11/04/2008 - STATE GENERAL,P
802089,08/10/2010,08/10/2010 - STATE PRIMARY,P
802089,11/02/2010,11/02/2010 - STATE GENERAL,P
802089,11/08/2011,11/08/2011 - SD SPEC ELECT ISD 2536 - GRANADA HUNTLEY-EAST CHAIN,P
802089,08/14/2012,08/14/2012 - STATE PRIMARY,P
802089,11/06/2012,11/06/2012 - STATE GENERAL,P
802089,08/12/2014,08/12/2014 - STATE PRIMARY,P
802089,11/04/2014,11/04/2014 - STATE GENERAL,P
802089,11/08/2016,11/08/2016 - STATE GENERAL,P
802089,08/14/2018,08/14/2018 - STATE PRIMARY,A
802089,11/06/2018,11/06/2018 - STATE GENERAL,P
802089,03/03/2020,03/03/2020 - PRESIDENTIAL PRIMARY,M
802089,08/11/2020,08/11/2020 - STATE PRIMARY,M
802089,11/03/2020,11/03/2020 - STATE GENERAL,M
802089,05/24/2022,05/24/2022 - SPEC PRI CONG DIST 1,M
802089,08/09/2022,08/09/2022 - STATE PRIMARY,M
802089,11/08/2022,11/08/2022 - STATE GENERAL,M
802196,11/07/2000,STATE GENERAL,P
802196,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
802196,11/04/2008,11/04/2008 - STATE GENERAL,P
802196,11/02/2010,11/02/2010 - STATE GENERAL,P
802196,08/14/2012,08/14/2012 - STATE PRIMARY,P
802196,11/06/2012,11/06/2012 - STATE GENERAL,P
802196,11/05/2013,11/05/2013 - SCHOOL DISTRICT GENERAL,P
802196,11/04/2014,11/04/2014 - STATE GENERAL,P
802196,11/03/2015,11/03/2015 - SCHOOL DISTRICT GENERAL,P
802196,11/08/2016,11/08/2016 - STATE GENERAL,P
802196,11/06/2018,11/06/2018 - STATE GENERAL,P
802196,11/05/2019,11/05/2019 - SCHOOL DISTRICT GENERAL,P
802196,11/03/2020,11/03/2020 - STATE GENERAL,A
802196,11/02/2021,11/02/2021 - SCHOOL DISTRICT GENERAL,P
802196,11/08/2022,11/08/2022 - STATE GENERAL,P
800782,11/06/2012,11/06/2012 - STATE GENERAL,P
800782,11/07/2000,STATE GENERAL,P
800782,11/03/1998,STATE GENERAL,P
800782,11/04/1997,SCHOOL BOARD ELECTION,P
836286,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
844283,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
801525,12/31/1999,SPECIAL ELECTION,P
801525,11/02/2004,11/02/2004 - STATE GENERAL,P
801525,11/04/2008,11/04/2008 - STATE GENERAL,P
